type,module,path,symbol,message,message-id
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
warning,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,attribute-defined-outside-init,Attribute '_start' defined outside __init__,W0201
warning,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,attribute-defined-outside-init,Attribute '_start_utcnow' defined outside __init__,W0201
warning,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,attribute-defined-outside-init,Attribute '_end' defined outside __init__,W0201
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-class-docstring,Missing class docstring,C0115
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-class-docstring,Missing class docstring,C0115
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-class-docstring,Missing class docstring,C0115
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
warning,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,unnecessary-pass,Unnecessary pass statement,W0107
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
warning,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,unused-argument,Unused argument 'response',W0613
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-class-docstring,Missing class docstring,C0115
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,wrong-import-order,"standard import ""import time"" should be placed before ""from .errors import NeedsKeyException""",C0411
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,wrong-import-order,"standard import ""from typing import Any, Callable, Dict, Iterator, List, Optional, Set, Union"" should be placed before ""from .errors import NeedsKeyException""",C0411
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,wrong-import-order,"standard import ""from abc import ABC, abstractmethod"" should be placed before ""from .errors import NeedsKeyException""",C0411
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,wrong-import-order,"standard import ""import os"" should be placed before ""from .errors import NeedsKeyException""",C0411
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,wrong-import-order,"third party import ""from pydantic import ConfigDict, BaseModel"" should be placed before ""from .errors import NeedsKeyException""",C0411
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-module-docstring,Missing module docstring,C0114
error,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,import-error,Unable to import 'llm',E0401
error,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,import-error,Unable to import 'llm',E0401
error,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,import-error,Unable to import 'llm.utils',E0401
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-function-docstring,Missing function or method docstring,C0116
error,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,import-error,Unable to import 'llm.cli',E0401
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,import-outside-toplevel,Import outside toplevel (llm.cli.get_key),C0415
warning,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-timeout,Missing timeout argument for method 'requests.get' can cause your program to hang indefinitely,W3101
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-class-docstring,Missing class docstring,C0115
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-class-docstring,Missing class docstring,C0115
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-function-docstring,Missing function or method docstring,C0116
error,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,no-self-argument,"Method 'validate_logit_bias' should have ""self"" as first argument",E0213
warning,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,raise-missing-from,Consider explicitly re-raising using 'except Exception as exc' and 'raise ValueError('Invalid JSON in logit_bias string') from exc',W0707
warning,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,raise-missing-from,Consider explicitly re-raising using 'except ValueError as exc' and 'raise ValueError('Invalid key-value pair in logit_bias dictionary') from exc',W0707
refactor,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,too-few-public-methods,Too few public methods (1/2),R0903
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-class-docstring,Missing class docstring,C0115
refactor,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,too-few-public-methods,Too few public methods (0/2),R0903
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-function-docstring,Missing function or method docstring,C0116
warning,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,protected-access,Access to a protected member _prompt_json of a client class,W0212
warning,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,protected-access,Access to a protected member _response_json of a client class,W0212
warning,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,protected-access,Access to a protected member _response_json of a client class,W0212
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,wrong-import-order,"standard import ""import datetime"" should be placed before ""from llm import Model, hookimpl""",C0411
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,wrong-import-order,"standard import ""from typing import List, Optional, Union"" should be placed before ""from llm import Model, hookimpl""",C0411
convention,openai_models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/default_plugins/openai_models.py,wrong-import-order,"standard import ""import json"" should be placed before ""from llm import Model, hookimpl""",C0411
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-module-docstring,Missing module docstring,C0114
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-class-docstring,Missing class docstring,C0115
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-function-docstring,Missing function or method docstring,C0116
warning,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,raise-missing-from,Consider explicitly re-raising using 'except KeyError as exc' and 'raise UnknownModelError(name) from exc',W0707
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-function-docstring,Missing function or method docstring,C0116
refactor,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,wrong-import-order,"third party import ""import click"" should be placed before ""from .hookspecs import hookimpl""",C0411
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,wrong-import-order,"standard import ""from typing import Dict, List"" should be placed before ""import click""",C0411
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,wrong-import-order,"standard import ""import json"" should be placed before ""import click""",C0411
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,wrong-import-order,"standard import ""import os"" should be placed before ""import click""",C0411
convention,llm,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/__init__.py,wrong-import-order,"standard import ""import pathlib"" should be placed before ""import click""",C0411
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,missing-module-docstring,Missing module docstring,C0114
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,missing-class-docstring,Missing class docstring,C0115
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,missing-class-docstring,Missing class docstring,C0115
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,missing-function-docstring,Missing function or method docstring,C0116
warning,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,redefined-builtin,Redefining built-in 'input',W0622
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,missing-function-docstring,Missing function or method docstring,C0116
warning,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,redefined-builtin,Redefining built-in 'vars',W0622
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,wrong-import-order,"standard import ""import string"" should be placed before ""from pydantic import ConfigDict, BaseModel""",C0411
convention,llm.templates,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/templates.py,wrong-import-order,"standard import ""from typing import Optional, Any, Dict, List, Tuple"" should be placed before ""from pydantic import ConfigDict, BaseModel""",C0411
warning,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,fixme,TODO: Re-introduce --continue mode,W0511
warning,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,fixme,TODO: Figure out OpenAI exception handling,W0511
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,missing-module-docstring,Missing module docstring,C0114
error,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,import-error,Unable to import 'click_default_group',E0401
error,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,import-error,Unable to import 'llm.migrations',E0401
error,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,import-error,Unable to import 'sqlite_utils',E0401
refactor,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,too-many-arguments,Too many arguments (12/5),R0913
refactor,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,too-many-locals,Too many local variables (29/15),R0914
warning,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,redefined-outer-name,Redefining name 'prompt' from outer scope (line 94),W0621
warning,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,redefined-outer-name,Redefining name 'prompt' from outer scope (line 94),W0621
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
warning,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,raise-missing-from,"Consider explicitly re-raising using 'except KeyError as exc' and 'raise click.ClickException(""'{}' is not a known model"".format(model_id)) from exc'",W0707
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
warning,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,raise-missing-from,"Consider explicitly re-raising using 'except KeyError as exc' and 'raise click.ClickException(""'{}' is not a known model"".format(model_id)) from exc'",W0707
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
refactor,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,too-many-branches,Too many branches (26/12),R0912
refactor,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,too-many-statements,Too many statements (79/50),R0915
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
warning,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,raise-missing-from,Consider explicitly re-raising using 'except KeyError as exc' and 'raise click.ClickException('Unknown model: {}'.format(model)) from exc',W0707
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,consider-using-f-string,Formatting a regular string which could be an f-string,C0209
warning,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,redefined-outer-name,Redefining name 'prompt' from outer scope (line 94),W0621
refactor,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,missing-function-docstring,Missing function or method docstring,C0116
refactor,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,missing-function-docstring,Missing function or method docstring,C0116
refactor,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
convention,llm.cli,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/cli.py,missing-function-docstring,Missing function or method docstring,C0116
