PullRequestURL,ChatGPT share link,Clone?,What type of changes developers made in the generated code before merging,Files to check,Comment
https://github.com/picobyte/stable-diffusion-webui-wd14-tagger/pull/4,https://chat.openai.com/share/92b7a453-70c1-4136-a3f4-bbaca159d34c,No,,,"ChatGPT link, error-404"
https://github.com/PolicyEngine/policyengine-us/pull/2764,https://chat.openai.com/share/6d013c41-719c-483c-9cf5-b684220303d4,No,,,ask for variable name suggestion
https://github.com/pyspark-ai/pyspark-ai/pull/1,https://chat.openai.com/share/0b7b9fec-30b4-40dd-b887-fb7328f303f2,No,,,Ask for a suggestion about an API
https://github.com/pyspark-ai/pyspark-ai/pull/157,https://chat.openai.com/share/2bd66613-5dc1-427e-9277-fb45b317438a,No,,,Ask about an api
https://github.com/reworkd/AgentGPT/pull/897,https://chat.openai.com/share/01ba1f78-371b-4ebc-bddd-32b88e4770f7,No,,,Ask about n8n to learn and no code
https://github.com/RND247/Pype-Synthetic-Data-for-Testing/pull/16,https://chat.openai.com/share/776c0d11-1a6c-4005-8ff7-9ea63f765b74,No,,,Make suggestion with an explanation from ChatGPT
https://github.com/roboflow/supervision/pull/177,https://chat.openai.com/share/acd17c82-87f6-499a-9d09-0b675b4ef4ea,No,,,No code from ChatGPT
https://github.com/roslinmahmud/easy-hire-backend/pull/11,https://chat.openai.com/share/8ca38ab8-e2c5-4913-a908-1f76b0b0f0fd,No,,,"ChatGPT link, error-404"
https://github.com/simonw/llm/pull/65,https://chat.openai.com/share/c8d2accd-798b-41b0-937e-18014151c79a,No,,,No code from ChatGPT
https://github.com/skrub-data/skrub/pull/581,https://chat.openai.com/share/d4a00de6-d10b-4c5a-af19-43757fb795cf,No,,,No code from ChatGPT
https://github.com/tinygrad/tinygrad/pull/1661,https://chat.openai.com/share/30ab0b7e-d72c-444f-a228-620b132e9500,No,,,Format code with ChatGPT
https://github.com/dotCMS/core/pull/25432,https://chat.openai.com/share/70bfe9b5-7897-4210-ad20-9a2c10e5f0d5,No,,,Resolving an issue with ChatGPT
https://github.com/adobe/aem-core-forms-components/pull/878,,,,,Cannot find the link from the large discussion
https://github.com/datastax/cassandra/pull/752,https://chat.openai.com/share/29a25377-786f-4690-b146-12acb6acb75b,No,,,No code from ChatGPT
https://github.com/mcagov/beacons/pull/539,https://chat.openai.com/share/f2b7484c-8455-47e2-bb45-1725138dcdb0,No,,,Ask ChaGPT to learn about Spring related issues
https://github.com/yzpocket/spring-cafeservice/pull/21,https://chat.openai.com/share/88445359-cc0e-41b9-955f-c446bbd2fc95,No,,,No code from ChatGPT
https://github.com/prgrms-be-devcourse/springboot-jpa/pull/248,https://chat.openai.com/share/a91172f5-5778-43d1-9c66-8321720753be,No,,,Ask a clarification question to ChatGPT
